Onset,Offset, ObjectID
30.2666666666667,31.5333333333333,9
31.7,33.0666666666666,7
34.8666666666667,35.8333333333333,7
38.1333333333333,40.4,6
40.9333333333333,42.1666666666666,6
42.8666666666667,43.3666666666666,6
44.1333333333333,45.9333333333333,6
47.5666666666667,48.3666666666666,6
50.3333333333333,52.3333333333333,1
53.9666666666667,54.2333333333333,1
54.3333333333333,61.7333333333333,6
61.9333333333333,62.2333333333333,9
62.4,64,6
64.2,66.6666666666666,1
68.2333333333333,69.8333333333333,7
75.2333333333333,78.4666666666666,6
79.9333333333333,80.8333333333333,10
83.6333333333333,84.9666666666666,5
85.0333333333333,85.7,2
85.7666666666667,88.3666666666666,7
88.8666666666667,91.9333333333333,2
91.9333333333333,92.3333333333333,7
93.7333333333333,102.266666666667,2
103.033333333333,103.9,8
103.966666666667,104.366666666667,5
104.4,105.433333333333,8
105.5,106.233333333333,9
108.333333333333,109.933333333333,9
110.033333333333,112.966666666667,3
114.333333333333,114.8,3
119.5,119.966666666667,3
120.133333333333,122.333333333333,9
125.6,127.6,3
127.6,131.5,9
136.333333333333,138.4,9
138.7,140.7,8
142.933333333333,145.366666666667,4
147.4,151.033333333333,4
151.266666666667,152.4,3
154.6,156.633333333333,4
157.733333333333,162.466666666667,4
163.3,167.3,4
168.033333333333,173.333333333333,4
173.5,174.1,1
174.133333333333,174.466666666667,5
174.5,175.033333333333,1
175.1,177.1,8
177.1,177.2,6
178.266666666667,182.2,8
182.833333333333,186.266666666667,8
186.366666666667,186.633333333333,2
188.3,190.8,5
190.9,192.966666666667,11
193.3,194.133333333333,5
194.5,194.966666666667,11
195.5,197.1,5
197.166666666667,199.933333333333,9
202.266666666667,202.866666666667,11
213.133333333333,213.966666666667,11
214.1,216.733333333333,2
216.733333333333,218.133333333333,7
218.6,219,9
219.066666666667,220.133333333333,11
220.166666666667,221.266666666667,9
222.166666666667,222.4,9
229.1,230.566666666667,11
230.9,231.966666666667,3
235.833333333333,236.7,11
236.766666666667,241,7
241.533333333333,242.366666666667,7
243.7,245.233333333333,7
246.733333333333,248.033333333333,11
250.366666666667,250.633333333333,5
253.233333333333,253.6,6
256.233333333333,256.866666666667,6
259.166666666667,261.5,9
261.5,262.433333333333,11
262.966666666667,263.5,1
263.966666666667,264.333333333333,9
264.4,264.666666666667,3
264.733333333333,267.133333333333,6
267.7,268.5,6
268.833333333333,269.8,11
270.1,270.966666666667,9
271.133333333333,272.033333333333,11
272.133333333333,273.133333333333,9
273.2,273.566666666667,6
273.633333333333,274.533333333333,11
274.633333333333,274.966666666667,6
275.133333333333,275.766666666667,11
275.866666666667,276.6,6
276.766666666667,277,11
280.233333333333,281,8
281.333333333333,281.9,6
282.3,282.533333333333,11
282.6,283.8,6
284.366666666667,284.733333333333,11
284.833333333333,285.133333333333,6
286.6,287.733333333333,6
287.8,289.133333333333,9
290.433333333333,290.766666666667,7
290.933333333333,292.833333333333,11
292.933333333333,293.633333333333,8
293.733333333333,294,11
294.366666666667,295.333333333333,9
295.433333333333,304.5,8
304.566666666667,306,9
306.333333333333,307.233333333333,11
307.333333333333,308.333333333333,9
308.8,309.066666666667,11
309.166666666667,310.9,10
311.733333333333,312.133333333333,9
315,316.2,10
316.666666666667,317,11
317.1,320.133333333333,10
320.133333333333,320.2,9
320.366666666667,321.833333333333,11
321.933333333333,322.633333333333,9
322.966666666667,325.666666666667,11
326.533333333333,326.933333333333,11
328.433333333333,328.766666666667,10
329.2,329.866666666667,11
329.966666666667,331.766666666667,9
331.9,332.566666666667,11
332.9,335.766666666667,1
335.766666666667,335.9,10
336.866666666667,337.133333333333,1
337.666666666667,339.633333333333,9
339.733333333333,340.6,11
340.7,343,9
343.166666666667,343.733333333333,11
343.833333333333,344.2,9
344.266666666667,344.766666666667,5
346.1,347.6,2
353.333333333333,356.533333333333,2
357.433333333333,362,2
362.333333333333,363.033333333333,11
363.166666666667,367.166666666667,2
367.333333333333,368.766666666667,11
369.333333333333,372.533333333333,2
372.633333333333,373.033333333333,11
373.166666666667,374.166666666667,2
374.333333333333,376.233333333333,11
376.966666666667,377.2,11
379.066666666667,384.7,2
385.133333333333,386.5,3
387.333333333333,389.333333333333,11
389.433333333333,391.266666666667,2
391.7,392.133333333333,9
392.633333333333,392.9,2
393.1,393.6,10
393.766666666667,395.2,11
395.566666666667,395.833333333333,2
397,398.6,2
398.666666666667,398.933333333333,4
399.3,399.666666666667,11
400.233333333333,402.233333333333,11
402.6,402.833333333333,9
403.6,404.833333333333,2
405.8,406.933333333333,11
407.5,407.8,11
407.933333333333,412.6,2
414.833333333333,415.433333333333,3
415.5,416.7,2
416.733333333333,417,7
417.7,419.4,6
419.933333333333,420.466666666667,6
420.533333333333,420.9,8
420.966666666667,422.666666666667,6
422.8,423.133333333333,11
423.233333333333,423.466666666667,7
423.5,426.066666666667,9
426.266666666667,427.533333333333,11
427.633333333333,431.033333333333,1
431.233333333333,431.633333333333,11
431.733333333333,432.133333333333,1
432.166666666667,432.666666666667,8
432.733333333333,434.1,1
435.033333333333,436.233333333333,1
442.366666666667,444.033333333333,2
502.8,503.7,9
504.133333333333,505.266666666667,7
505.9,507.4,7
509.466666666667,511.133333333333,7
511.266666666667,511.533333333333,9
511.633333333333,512.333333333333,1
512.5,512.966666666667,7
513,513.233333333333,6
513.3,513.7,7
513.766666666667,514.133333333333,6
514.533333333333,519.3,7
519.466666666667,520.733333333333,6
520.766666666667,522.766666666667,1
522.766666666667,524.1,3
524.2,524.933333333333,11
525.066666666667,525.833333333333,9
525.966666666667,529.566666666667,3
530.1,531.866666666667,3
531.966666666667,532.266666666667,2
532.333333333333,533.033333333333,4
533.1,533.5,8
533.533333333333,535,6
535.066666666667,535.8,1
535.966666666667,538.133333333333,6
538.2,540.933333333333,2
541.8,548.633333333333,2
550.366666666667,550.766666666667,3
