Onset (s),Offset (s)
1126.7,1126.934
1127.0,1127.5
1127.567,1128.834
1128.9,1129.034
1129.1,1129.234
1129.3,1129.9
1129.934,1130.234
1130.667,1130.767
1130.8,1130.9
1131.034,1132.2
1132.234,1132.8
1132.9,1133.467
1133.534,1133.9
1134.0,1135.3
1135.5,1135.734
1136.2,1137.867
1138.034,1138.267
1138.3,1138.4
1138.767,1139.1
1139.134,1139.367
1139.4,1139.734
1139.9,1140.267
1140.4,1141.467
1141.5,1141.934
1142.1,1143.767
1143.9,1144.1
1144.134,1144.3
1144.367,1144.467
1144.6,1144.8
1144.834,1145.0
1145.2,1145.434
1146.667,1147.0
1147.134,1147.334
1147.4,1147.534
1147.867,1148.734
1148.8,1149.134
1149.2,1149.667
1149.734,1150.067
1150.1,1150.2
1150.267,1151.9
1152.067,1152.234
1152.267,1152.767
1152.8,1153.167
1153.267,1153.5
1153.667,1154.0
1154.034,1154.434
1154.534,1155.0
1155.034,1155.3
1155.467,1155.667
1155.767,1156.367
1156.434,1157.367
1157.5,1158.434
1158.567,1159.567
1159.634,1160.834
1160.867,1161.7
1161.8,1162.4
1162.434,1164.1
1164.167,1164.5
1164.6,1164.834
1164.867,1165.067
1165.3,1165.434
1165.7,1166.167
1166.2,1166.567
1166.6,1166.934
1166.967,1168.1
1168.234,1168.367
1168.467,1169.534
1169.6,1169.734
1169.8,1170.767
1170.8,1171.234
1171.3,1171.967
1172.0,1172.3
1172.334,1172.634
1172.7,1172.967
1173.034,1173.7
1173.767,1175.2
1175.267,1175.567
1175.7,1176.1
1176.167,1176.4
1176.434,1177.367
1177.467,1177.867
1177.967,1178.1
1178.534,1178.8
1178.867,1179.667
1179.7,1180.334
1180.434,1180.834
1180.934,1181.134
1181.334,1181.867
1182.067,1183.3
1183.367,1183.6
1183.7,1184.067
1184.1,1184.234
1184.567,1184.834
1184.867,1185.134
1185.2,1185.567
1185.634,1186.434
1186.534,1186.8
1186.867,1187.067
1187.234,1187.4
1187.434,1187.7
1187.767,1188.0
1188.067,1189.2
1189.367,1189.634
1189.7,1190.034
1190.067,1190.5
1190.734,1191.134
1191.234,1192.167
1192.234,1192.534
1192.567,1192.9
1193.0,1193.3
1194.367,1194.567
1194.7,1194.9
1194.934,1195.034
1195.334,1195.567
1195.634,1195.967
1196.0,1196.7
1196.734,1197.3
1197.4,1197.6
1197.667,1197.8
1197.934,1198.267
1198.6,1199.167
1199.267,1199.4
1199.5,1200.234
1200.3,1200.434
1200.634,1200.8
1200.834,1200.967
1201.134,1201.634
1201.734,1201.867
1202.0,1202.134
1202.167,1202.934
1203.0,1203.467
1203.534,1203.767
1203.867,1205.1
1205.334,1205.734
1205.767,1205.967
1206.034,1206.2
1207.234,1207.367
1207.4,1207.7
1207.767,1207.9
1208.0,1208.2
1208.3,1208.467
1208.634,1209.534
1209.7,1210.9
1211.034,1211.5
1211.567,1212.1
1212.167,1212.334
1212.667,1213.267
1213.6,1214.267
1214.3,1215.034
1215.134,1215.3
1215.334,1215.867
1216.134,1216.5
1216.567,1217.7
1217.834,1218.0
1218.067,1218.3
1218.334,1218.7
1218.867,1219.6
1219.767,1220.634
1220.934,1221.234
1221.434,1221.634
1221.7,1222.1
1222.267,1223.5
1223.567,1223.734
1223.834,1224.1
1224.167,1224.567
1224.7,1225.134
1225.234,1225.334
1225.434,1225.634
1225.867,1225.967
1226.034,1226.267
1226.3,1226.4
1226.434,1226.567
1227.267,1227.6
1227.8,1228.1
1228.134,1228.267
1228.334,1228.7
1228.8,1229.3
1229.467,1229.7
1229.767,1230.467
1230.634,1231.167
1231.2,1231.7
1231.767,1232.067
1232.267,1232.534
1232.6,1232.8
1232.867,1233.3
1233.367,1233.667
1233.734,1234.5
1235.2,1235.567
1235.6,1235.7
