record started at: 04-26-19 12:52:11

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
8940 8939 30.00 0:00:04:58.00/1000 0:00:04:57.967/1000 304.51 252.97 296.45 224.24 -1000.00 -1000.00 68.00 39.00 
8941 8941 30.00 0:00:04:58.34/1000 0:00:04:58.00/1000 300.70 254.00 297.22 224.31 -1000.00 -1000.00 70.00 41.00 
8942 8942 30.00 0:00:04:58.67/1000 0:00:04:58.34/1000 303.79 253.43 296.60 224.31 -1000.00 -1000.00 68.00 38.00 
8943 8942 30.00 0:00:04:58.100/1000 0:00:04:58.67/1000 309.80 250.43 295.38 223.90 -1000.00 -1000.00 69.00 38.00 
8944 8944 30.00 0:00:04:58.134/1000 0:00:04:58.100/1000 316.98 245.01 293.90 222.98 -1000.00 -1000.00 69.00 36.00 
8945 8945 30.00 0:00:04:58.167/1000 0:00:04:58.134/1000 322.10 239.64 292.83 221.98 -1000.00 -1000.00 72.00 37.00 
8946 8945 30.00 0:00:04:58.200/1000 0:00:04:58.167/1000 321.18 238.47 293.03 221.68 -1000.00 -1000.00 71.00 37.00 
8947 8947 30.00 0:00:04:58.234/1000 0:00:04:58.200/1000 319.17 244.30 293.44 222.91 -1000.00 -1000.00 71.00 38.00 
8948 8948 30.00 0:00:04:58.267/1000 0:00:04:58.234/1000 317.58 250.18 293.75 224.16 -1000.00 -1000.00 71.00 37.00 
8949 8948 30.00 0:00:04:58.300/1000 0:00:04:58.267/1000 319.53 251.09 293.34 224.44 -1000.00 -1000.00 68.00 37.00 
8950 8950 30.00 0:00:04:58.334/1000 0:00:04:58.300/1000 321.56 246.58 292.92 223.52 -1000.00 -1000.00 71.00 37.00 
8951 8951 30.00 0:00:04:58.367/1000 0:00:04:58.334/1000 323.48 243.04 292.52 222.80 -1000.00 -1000.00 71.00 37.00 
8952 8951 30.00 0:00:04:58.400/1000 0:00:04:58.367/1000 326.91 245.45 291.78 223.48 -1000.00 -1000.00 70.00 37.00 
8953 8953 30.00 0:00:04:58.434/1000 0:00:04:58.400/1000 331.42 250.23 290.79 224.74 -1000.00 -1000.00 67.00 36.00 
8954 8954 30.00 0:00:04:58.467/1000 0:00:04:58.434/1000 331.07 251.26 290.86 224.96 -1000.00 -1000.00 71.00 37.00 
8955 8954 30.00 0:00:04:58.500/1000 0:00:04:58.467/1000 331.49 253.84 290.76 225.55 -1000.00 -1000.00 66.00 35.00 
8956 8956 30.00 0:00:04:58.534/1000 0:00:04:58.500/1000 331.34 256.25 290.79 226.09 -1000.00 -1000.00 70.00 37.00 
8957 8957 30.00 0:00:04:58.567/1000 0:00:04:58.534/1000 326.14 255.71 291.91 225.74 -1000.00 -1000.00 70.00 38.00 
8958 8957 30.00 0:00:04:58.600/1000 0:00:04:58.567/1000 322.49 256.88 292.69 225.84 -1000.00 -1000.00 69.00 38.00 
8959 8959 30.00 0:00:04:58.634/1000 0:00:04:58.600/1000 319.10 257.37 293.41 225.80 -1000.00 -1000.00 69.00 38.00 
8960 8960 30.00 0:00:04:58.667/1000 0:00:04:58.634/1000 314.94 258.61 294.27 225.90 -1000.00 -1000.00 68.00 38.00 
8961 8960 30.00 0:00:04:58.700/1000 0:00:04:58.667/1000 310.94 260.62 295.09 226.17 -1000.00 -1000.00 66.00 39.00 
8962 8962 30.00 0:00:04:58.734/1000 0:00:04:58.700/1000 306.05 264.39 296.08 226.77 -1000.00 -1000.00 64.00 40.00 
8963 8963 30.00 0:00:04:58.767/1000 0:00:04:58.734/1000 269.29 262.40 303.28 224.84 -1000.00 -1000.00 63.00 42.00 
8964 8963 30.00 0:00:04:58.800/1000 0:00:04:58.767/1000 221.68 252.17 311.89 221.03 -1000.00 -1000.00 65.00 55.00 
8965 8965 30.00 0:00:04:58.834/1000 0:00:04:58.800/1000 208.26 247.19 314.21 219.61 -1000.00 -1000.00 65.00 58.00 
8966 8966 30.00 0:00:04:58.867/1000 0:00:04:58.834/1000 208.99 248.20 314.08 219.83 -1000.00 -1000.00 66.00 60.00 
8967 8966 30.00 0:00:04:58.900/1000 0:00:04:58.867/1000 211.35 250.68 313.65 220.40 -1000.00 -1000.00 66.00 61.00 
8968 8968 30.00 0:00:04:58.934/1000 0:00:04:58.900/1000 212.06 254.54 313.48 221.19 -1000.00 -1000.00 66.00 59.00 
8969 8969 30.00 0:00:04:58.967/1000 0:00:04:58.934/1000 211.28 259.17 313.54 222.07 -1000.00 -1000.00 64.00 50.00 
8970 8969 30.00 0:00:04:59.00/1000 0:00:04:58.967/1000 210.71 264.52 313.57 223.10 -1000.00 -1000.00 64.00 58.00 
8971 8971 30.00 0:00:04:59.34/1000 0:00:04:59.00/1000 213.35 270.35 313.05 224.33 -1000.00 -1000.00 63.00 51.00 
8972 8972 30.00 0:00:04:59.67/1000 0:00:04:59.34/1000 219.30 276.69 311.98 225.79 -1000.00 -1000.00 59.00 46.00 
8973 8972 30.00 0:00:04:59.100/1000 0:00:04:59.67/1000 272.08 281.36 302.59 228.86 -1000.00 -1000.00 57.00 43.00 
8974 8974 30.00 0:00:04:59.134/1000 0:00:04:59.100/1000 376.41 272.04 280.50 231.84 -1000.00 -1000.00 69.00 50.00 
8975 8975 30.00 0:00:04:59.167/1000 0:00:04:59.134/1000 433.86 262.47 265.47 232.76 -1000.00 -1000.00 69.00 50.00 
8976 8975 30.00 0:00:04:59.200/1000 0:00:04:59.167/1000 430.60 261.46 266.37 232.32 -1000.00 -1000.00 68.00 51.00 
8977 8977 30.00 0:00:04:59.234/1000 0:00:04:59.200/1000 411.89 259.76 271.44 230.84 -1000.00 -1000.00 69.00 52.00 
8978 8978 30.00 0:00:04:59.267/1000 0:00:04:59.234/1000 403.07 258.85 273.75 230.15 -1000.00 -1000.00 65.00 44.00 
8979 8978 30.00 0:00:04:59.300/1000 0:00:04:59.267/1000 411.85 260.91 271.47 231.12 -1000.00 -1000.00 64.00 43.00 
8980 8980 30.00 0:00:04:59.334/1000 0:00:04:59.300/1000 464.01 253.03 256.42 232.15 -1000.00 -1000.00 58.00 35.00 
8981 8981 30.00 0:00:04:59.367/1000 0:00:04:59.334/1000 499.74 242.95 244.48 231.66 -1000.00 -1000.00 61.00 41.00 
8982 8981 30.00 0:00:04:59.400/1000 0:00:04:59.367/1000 492.58 242.12 246.90 230.98 -1000.00 -1000.00 61.00 43.00 
8983 8983 30.00 0:00:04:59.434/1000 0:00:04:59.400/1000 486.30 243.29 249.04 230.91 -1000.00 -1000.00 62.00 46.00 
8984 8984 30.00 0:00:04:59.467/1000 0:00:04:59.434/1000 482.89 240.84 250.10 230.04 -1000.00 -1000.00 62.00 47.00 
8985 8984 30.00 0:00:04:59.500/1000 0:00:04:59.467/1000 482.30 235.08 250.14 228.42 -1000.00 -1000.00 63.00 47.00 
8986 8986 30.00 0:00:04:59.534/1000 0:00:04:59.500/1000 482.99 229.68 249.77 226.97 -1000.00 -1000.00 62.00 44.00 
8987 8987 30.00 0:00:04:59.567/1000 0:00:04:59.534/1000 475.87 233.06 252.19 227.50 -1000.00 -1000.00 62.00 43.00 
8988 8987 30.00 0:00:04:59.600/1000 0:00:04:59.567/1000 438.37 275.70 264.39 236.31 -1000.00 -1000.00 71.00 52.00 
8989 8989 30.00 0:00:04:59.634/1000 0:00:04:59.600/1000 401.22 321.28 274.73 244.49 -1000.00 -1000.00 70.00 55.00 
8990 8990 30.00 0:00:04:59.667/1000 0:00:04:59.634/1000 406.88 317.26 273.28 243.98 -1000.00 -1000.00 72.00 56.00 
8991 8990 30.00 0:00:04:59.700/1000 0:00:04:59.667/1000 417.29 304.23 270.48 241.72 -1000.00 -1000.00 69.00 52.00 
8992 8992 30.00 0:00:04:59.734/1000 0:00:04:59.700/1000 417.69 297.36 270.31 240.15 -1000.00 -1000.00 69.00 51.00 
8993 8993 30.00 0:00:04:59.767/1000 0:00:04:59.734/1000 413.27 296.94 271.46 239.77 -1000.00 -1000.00 69.00 50.00 
8994 8993 30.00 0:00:04:59.800/1000 0:00:04:59.767/1000 410.00 298.45 272.32 239.90 -1000.00 -1000.00 68.00 50.00 
8995 8995 30.00 0:00:04:59.834/1000 0:00:04:59.800/1000 409.50 297.94 272.44 239.75 -1000.00 -1000.00 68.00 49.00 
8996 8996 30.00 0:00:04:59.867/1000 0:00:04:59.834/1000 394.67 317.57 276.32 243.22 -1000.00 -1000.00 65.00 53.00 
8997 8996 30.00 0:00:04:59.900/1000 0:00:04:59.867/1000 369.93 361.34 282.31 250.83 -1000.00 -1000.00 60.00 55.00 
8998 8998 30.00 0:00:04:59.934/1000 0:00:04:59.900/1000 364.97 375.04 283.44 253.25 -1000.00 -1000.00 60.00 55.00 
8999 8999 30.00 0:00:04:59.967/1000 0:00:04:59.934/1000 374.81 355.69 281.19 250.01 -1000.00 -1000.00 62.00 54.00 
9000 8999 30.00 0:00:05:00.00/1000 0:00:04:59.967/1000 381.81 338.65 279.51 246.93 -1000.00 -1000.00 64.00 55.00 
9001 9001 30.00 0:00:05:00.34/1000 0:00:05:00.00/1000 382.46 328.92 279.31 244.88 -1000.00 -1000.00 63.00 55.00 
9002 9002 30.00 0:00:05:00.67/1000 0:00:05:00.34/1000 381.90 323.98 279.42 243.77 -1000.00 -1000.00 62.00 52.00 
9003 9002 30.00 0:00:05:00.100/1000 0:00:05:00.67/1000 378.82 320.82 280.13 242.88 -1000.00 -1000.00 64.00 54.00 
9004 9004 30.00 0:00:05:00.134/1000 0:00:05:00.100/1000 372.70 316.61 281.54 241.58 -1000.00 -1000.00 65.00 53.00 
9005 9005 30.00 0:00:05:00.167/1000 0:00:05:00.134/1000 373.23 307.57 281.39 239.64 -1000.00 -1000.00 59.00 48.00 
9006 9005 30.00 0:00:05:00.200/1000 0:00:05:00.167/1000 377.94 297.31 280.24 237.65 -1000.00 -1000.00 61.00 48.00 
9007 9007 30.00 0:00:05:00.234/1000 0:00:05:00.200/1000 379.41 289.97 279.85 236.09 -1000.00 -1000.00 62.00 50.00 
9008 9008 30.00 0:00:05:00.267/1000 0:00:05:00.234/1000 380.39 283.15 279.59 234.60 -1000.00 -1000.00 60.00 45.00 
9009 9008 30.00 0:00:05:00.300/1000 0:00:05:00.267/1000 380.10 277.61 279.63 233.32 -1000.00 -1000.00 62.00 44.00 
9010 9010 30.00 0:00:05:00.334/1000 0:00:05:00.300/1000 376.60 274.54 280.46 232.42 -1000.00 -1000.00 60.00 41.00 
9011 9011 30.00 0:00:05:00.367/1000 0:00:05:00.334/1000 374.34 271.26 280.99 231.55 -1000.00 -1000.00 58.00 42.00 
9012 9011 30.00 0:00:05:00.400/1000 0:00:05:00.367/1000 368.74 264.29 282.30 229.66 -1000.00 -1000.00 64.00 43.00 
9013 9013 30.00 0:00:05:00.434/1000 0:00:05:00.400/1000 359.76 256.53 284.39 227.44 -1000.00 -1000.00 65.00 41.00 
9014 9014 30.00 0:00:05:00.467/1000 0:00:05:00.434/1000 352.00 250.79 286.18 225.76 -1000.00 -1000.00 66.00 40.00 
9015 9014 30.00 0:00:05:00.500/1000 0:00:05:00.467/1000 344.20 248.27 287.96 224.84 -1000.00 -1000.00 65.00 40.00 
9016 9016 30.00 0:00:05:00.534/1000 0:00:05:00.500/1000 332.44 245.54 290.57 223.73 -1000.00 -1000.00 66.00 39.00 
9017 9017 30.00 0:00:05:00.567/1000 0:00:05:00.534/1000 318.16 240.01 293.67 221.91 -1000.00 -1000.00 67.00 38.00 
9018 9017 30.00 0:00:05:00.600/1000 0:00:05:00.567/1000 310.07 236.96 295.39 220.93 -1000.00 -1000.00 66.00 38.00 
9019 9019 30.00 0:00:05:00.634/1000 0:00:05:00.600/1000 308.66 236.08 295.69 220.68 -1000.00 -1000.00 66.00 38.00 
9020 9020 30.00 0:00:05:00.667/1000 0:00:05:00.634/1000 312.38 238.00 294.90 221.24 -1000.00 -1000.00 63.00 37.00 
9021 9020 30.00 0:00:05:00.700/1000 0:00:05:00.667/1000 315.79 241.49 294.17 222.15 -1000.00 -1000.00 64.00 38.00 
9022 9022 30.00 0:00:05:00.734/1000 0:00:05:00.700/1000 317.47 243.94 293.80 222.76 -1000.00 -1000.00 61.00 36.00 
9023 9023 30.00 0:00:05:00.767/1000 0:00:05:00.734/1000 318.41 245.71 293.60 223.20 -1000.00 -1000.00 61.00 37.00 
9024 9023 30.00 0:00:05:00.800/1000 0:00:05:00.767/1000 320.50 247.21 293.15 223.62 -1000.00 -1000.00 62.00 37.00 
9025 9025 30.00 0:00:05:00.834/1000 0:00:05:00.800/1000 324.43 251.49 292.29 224.73 -1000.00 -1000.00 60.00 38.00 
9026 9026 30.00 0:00:05:00.867/1000 0:00:05:00.834/1000 327.41 262.57 291.62 227.31 -1000.00 -1000.00 58.00 39.00 
9027 9026 30.00 0:00:05:00.900/1000 0:00:05:00.867/1000 328.03 279.65 291.45 231.07 -1000.00 -1000.00 52.00 40.00 
9028 9028 30.00 0:00:05:00.934/1000 0:00:05:00.900/1000 328.62 300.11 291.27 235.48 -1000.00 -1000.00 49.00 40.00 
9029 9029 30.00 0:00:05:00.967/1000 0:00:05:00.934/1000 331.50 317.65 290.63 239.31 -1000.00 -1000.00 51.00 45.00 
9030 9029 30.00 0:00:05:01.00/1000 0:00:05:00.967/1000 343.90 329.60 287.98 242.53 -1000.00 -1000.00 50.00 45.00 
9031 9031 30.00 0:00:05:01.34/1000 0:00:05:01.00/1000 357.95 337.70 284.92 245.11 -1000.00 -1000.00 56.00 47.00 
9032 9032 30.00 0:00:05:01.67/1000 0:00:05:01.34/1000 371.74 338.33 281.83 246.16 -1000.00 -1000.00 58.00 48.00 
9033 9032 30.00 0:00:05:01.100/1000 0:00:05:01.67/1000 389.92 327.76 277.53 245.14 -1000.00 -1000.00 58.00 46.00 
9034 9034 30.00 0:00:05:01.134/1000 0:00:05:01.100/1000 402.57 307.47 274.28 241.48 -1000.00 -1000.00 58.00 44.00 
9035 9035 30.00 0:00:05:01.167/1000 0:00:05:01.134/1000 412.64 277.14 271.42 235.07 -1000.00 -1000.00 59.00 44.00 
9036 9035 30.00 0:00:05:01.200/1000 0:00:05:01.167/1000 423.96 241.74 267.96 227.01 -1000.00 -1000.00 58.00 43.00 
9037 9037 30.00 0:00:05:01.234/1000 0:00:05:01.200/1000 396.66 236.81 275.24 224.46 -1000.00 -1000.00 56.00 42.00 
9038 9038 30.00 0:00:05:01.267/1000 0:00:05:01.234/1000 290.04 279.30 299.18 229.22 -1000.00 -1000.00 56.00 49.00 
9039 9038 30.00 0:00:05:01.300/1000 0:00:05:01.267/1000 158.10 343.14 320.52 235.45 -1000.00 -1000.00 57.00 54.00 
9040 9040 30.00 0:00:05:01.334/1000 0:00:05:01.300/1000 109.33 367.82 326.80 237.47 -1000.00 -1000.00 52.00 47.00 
9041 9041 30.00 0:00:05:01.367/1000 0:00:05:01.334/1000 132.70 348.30 324.01 235.24 -1000.00 -1000.00 51.00 45.00 
9042 9041 30.00 0:00:05:01.400/1000 0:00:05:01.367/1000 187.63 310.57 316.61 230.92 -1000.00 -1000.00 41.00 35.00 
9043 9043 30.00 0:00:05:01.434/1000 0:00:05:01.400/1000 219.64 287.52 311.78 227.90 -1000.00 -1000.00 41.00 35.00 
9044 9044 30.00 0:00:05:01.467/1000 0:00:05:01.434/1000 225.10 286.44 310.88 227.91 -1000.00 -1000.00 52.00 43.00 
9045 9044 30.00 0:00:05:01.500/1000 0:00:05:01.467/1000 236.56 279.76 309.00 227.06 -1000.00 -1000.00 50.00 44.00 
9046 9046 30.00 0:00:05:01.534/1000 0:00:05:01.500/1000 253.24 267.19 306.19 225.20 -1000.00 -1000.00 48.00 41.00 
9047 9047 30.00 0:00:05:01.567/1000 0:00:05:01.534/1000 268.49 257.62 303.47 223.82 -1000.00 -1000.00 52.00 41.00 
9048 9047 30.00 0:00:05:01.600/1000 0:00:05:01.567/1000 277.23 255.48 301.83 223.70 -1000.00 -1000.00 58.00 50.00 
9049 9049 30.00 0:00:05:01.634/1000 0:00:05:01.600/1000 284.61 258.07 300.39 224.54 -1000.00 -1000.00 56.00 49.00 
9050 9050 30.00 0:00:05:01.667/1000 0:00:05:01.634/1000 287.85 261.73 299.73 225.44 -1000.00 -1000.00 56.00 50.00 
9051 9050 30.00 0:00:05:01.700/1000 0:00:05:01.667/1000 287.67 264.18 299.75 225.95 -1000.00 -1000.00 51.00 39.00 
9052 9052 30.00 0:00:05:01.734/1000 0:00:05:01.700/1000 284.98 265.39 300.26 226.10 -1000.00 -1000.00 56.00 49.00 
9053 9053 30.00 0:00:05:01.767/1000 0:00:05:01.734/1000 282.13 265.64 300.81 226.03 -1000.00 -1000.00 57.00 48.00 
9054 9053 30.00 0:00:05:01.800/1000 0:00:05:01.767/1000 285.84 266.05 300.09 226.27 -1000.00 -1000.00 51.00 43.00 
9055 9055 30.00 0:00:05:01.834/1000 0:00:05:01.800/1000 293.73 235.11 298.75 219.93 -1000.00 -1000.00 57.00 36.00 
9056 9056 30.00 0:00:05:01.867/1000 0:00:05:01.834/1000 301.34 193.80 297.45 210.83 -1000.00 -1000.00 58.00 31.00 
9057 9056 30.00 0:00:05:01.900/1000 0:00:05:01.867/1000 303.64 177.31 297.06 207.01 -1000.00 -1000.00 64.00 54.00 
9058 9058 30.00 0:00:05:01.934/1000 0:00:05:01.900/1000 302.12 173.45 297.41 206.07 -1000.00 -1000.00 64.00 60.00 
9059 9059 30.00 0:00:05:01.967/1000 0:00:05:01.934/1000 299.25 180.79 297.97 207.74 -1000.00 -1000.00 62.00 55.00 
9060 9059 30.00 0:00:05:02.00/1000 0:00:05:01.967/1000 294.80 191.25 298.82 210.08 -1000.00 -1000.00 62.00 57.00 
9061 9061 30.00 0:00:05:02.34/1000 0:00:05:02.00/1000 290.43 202.52 299.64 212.55 -1000.00 -1000.00 61.00 57.00 
9062 9062 30.00 0:00:05:02.67/1000 0:00:05:02.34/1000 303.71 158.15 297.16 202.41 -1000.00 -1000.00 50.00 32.00 
9063 9062 30.00 0:00:05:02.100/1000 0:00:05:02.67/1000 322.68 104.60 293.19 188.95 -1000.00 -1000.00 50.00 42.00 
9064 9064 30.00 0:00:05:02.134/1000 0:00:05:02.100/1000 323.18 103.60 293.08 188.68 -1000.00 -1000.00 49.00 43.00 
9065 9065 30.00 0:00:05:02.167/1000 0:00:05:02.134/1000 315.89 113.60 294.71 191.31 -1000.00 -1000.00 50.00 47.00 
9066 9065 30.00 0:00:05:02.200/1000 0:00:05:02.167/1000 309.58 123.23 296.08 193.77 -1000.00 -1000.00 49.00 48.00 
9067 9067 30.00 0:00:05:02.234/1000 0:00:05:02.200/1000 302.89 133.63 297.49 196.36 -1000.00 -1000.00 49.00 65.00 
9068 9068 30.00 0:00:05:02.267/1000 0:00:05:02.234/1000 294.29 141.11 299.29 198.13 -1000.00 -1000.00 48.00 64.00 
9069 9068 30.00 0:00:05:02.300/1000 0:00:05:02.267/1000 328.00 141.98 291.83 198.72 -1000.00 -1000.00 50.00 42.00 
9070 9070 30.00 0:00:05:02.334/1000 0:00:05:02.300/1000 410.27 127.91 270.45 195.73 -1000.00 -1000.00 50.00 66.00 
9071 9071 30.00 0:00:05:02.367/1000 0:00:05:02.334/1000 446.52 119.91 259.12 193.60 -1000.00 -1000.00 50.00 65.00 
9072 9071 30.00 0:00:05:02.400/1000 0:00:05:02.367/1000 435.25 126.02 262.86 195.39 -1000.00 -1000.00 46.00 63.00 
9073 9073 30.00 0:00:05:02.434/1000 0:00:05:02.400/1000 421.36 132.61 267.22 197.21 -1000.00 -1000.00 52.00 64.00 
9074 9074 30.00 0:00:05:02.467/1000 0:00:05:02.434/1000 409.74 137.54 270.71 198.50 -1000.00 -1000.00 49.00 64.00 
9075 9074 30.00 0:00:05:02.500/1000 0:00:05:02.467/1000 403.41 139.83 272.55 199.07 -1000.00 -1000.00 52.00 64.00 
9076 9076 30.00 0:00:05:02.534/1000 0:00:05:02.500/1000 399.07 140.76 273.78 199.28 -1000.00 -1000.00 51.00 63.00 
9077 9077 30.00 0:00:05:02.567/1000 0:00:05:02.534/1000 394.07 142.35 275.18 199.65 -1000.00 -1000.00 51.00 64.00 
9078 9077 30.00 0:00:05:02.600/1000 0:00:05:02.567/1000 390.79 144.67 276.10 200.25 -1000.00 -1000.00 49.00 46.00 
9079 9079 30.00 0:00:05:02.634/1000 0:00:05:02.600/1000 390.36 146.34 276.22 200.70 -1000.00 -1000.00 51.00 50.00 
9080 9080 30.00 0:00:05:02.667/1000 0:00:05:02.634/1000 392.70 147.92 275.60 201.18 -1000.00 -1000.00 50.00 47.00 
9081 9080 30.00 0:00:05:02.700/1000 0:00:05:02.667/1000 384.17 163.21 278.00 205.17 -1000.00 -1000.00 60.00 36.00 
9082 9082 30.00 0:00:05:02.734/1000 0:00:05:02.700/1000 370.05 179.88 281.71 209.20 -1000.00 -1000.00 62.00 35.00 
9083 9083 30.00 0:00:05:02.767/1000 0:00:05:02.734/1000 368.45 181.92 282.12 209.68 -1000.00 -1000.00 63.00 36.00 
9084 9083 30.00 0:00:05:02.800/1000 0:00:05:02.767/1000 370.99 182.35 281.49 209.86 -1000.00 -1000.00 62.00 33.00 
9085 9085 30.00 0:00:05:02.834/1000 0:00:05:02.800/1000 371.92 181.55 281.25 209.67 -1000.00 -1000.00 64.00 36.00 
9086 9086 30.00 0:00:05:02.867/1000 0:00:05:02.834/1000 370.99 181.34 281.48 209.60 -1000.00 -1000.00 64.00 36.00 
9087 9086 30.00 0:00:05:02.900/1000 0:00:05:02.867/1000 369.22 182.85 281.93 209.94 -1000.00 -1000.00 64.00 37.00 
9088 9088 30.00 0:00:05:02.934/1000 0:00:05:02.900/1000 367.51 185.55 282.37 210.58 -1000.00 -1000.00 64.00 35.00 
9089 9089 30.00 0:00:05:02.967/1000 0:00:05:02.934/1000 364.90 189.01 283.02 211.38 -1000.00 -1000.00 64.00 36.00 
9090 9089 30.00 0:00:05:03.00/1000 0:00:05:02.967/1000 360.42 193.36 284.13 212.34 -1000.00 -1000.00 65.00 36.00 
9091 9091 30.00 0:00:05:03.34/1000 0:00:05:03.00/1000 354.45 196.75 285.57 213.00 -1000.00 -1000.00 65.00 35.00 
9092 9092 30.00 0:00:05:03.67/1000 0:00:05:03.34/1000 349.36 198.14 286.78 213.19 -1000.00 -1000.00 65.00 36.00 
9093 9092 30.00 0:00:05:03.100/1000 0:00:05:03.67/1000 347.96 198.67 287.10 213.28 -1000.00 -1000.00 64.00 36.00 
9094 9094 30.00 0:00:05:03.134/1000 0:00:05:03.100/1000 348.99 198.92 286.86 213.37 -1000.00 -1000.00 64.00 36.00 
9095 9095 30.00 0:00:05:03.167/1000 0:00:05:03.134/1000 347.85 201.46 287.13 213.95 -1000.00 -1000.00 65.00 37.00 
9096 9095 30.00 0:00:05:03.200/1000 0:00:05:03.167/1000 341.01 205.63 288.71 214.75 -1000.00 -1000.00 63.00 36.00 
9097 9097 30.00 0:00:05:03.234/1000 0:00:05:03.200/1000 332.49 210.56 290.63 215.65 -1000.00 -1000.00 64.00 38.00 
9098 9098 30.00 0:00:05:03.267/1000 0:00:05:03.234/1000 327.51 216.06 291.73 216.78 -1000.00 -1000.00 64.00 38.00 
9099 9098 30.00 0:00:05:03.300/1000 0:00:05:03.267/1000 325.47 219.59 292.16 217.53 -1000.00 -1000.00 64.00 38.00 
9100 9100 30.00 0:00:05:03.334/1000 0:00:05:03.300/1000 323.15 220.54 292.67 217.67 -1000.00 -1000.00 64.00 39.00 
9101 9101 30.00 0:00:05:03.367/1000 0:00:05:03.334/1000 320.40 222.62 293.26 218.05 -1000.00 -1000.00 64.00 40.00 
9102 9101 30.00 0:00:05:03.400/1000 0:00:05:03.367/1000 318.72 226.09 293.60 218.79 -1000.00 -1000.00 64.00 40.00 
9103 9103 30.00 0:00:05:03.434/1000 0:00:05:03.400/1000 317.20 228.75 293.92 219.34 -1000.00 -1000.00 63.00 41.00 
9104 9104 30.00 0:00:05:03.467/1000 0:00:05:03.434/1000 315.15 230.85 294.35 219.74 -1000.00 -1000.00 64.00 42.00 
9105 9104 30.00 0:00:05:03.500/1000 0:00:05:03.467/1000 310.56 233.57 295.30 220.19 -1000.00 -1000.00 63.00 42.00 
9106 9106 30.00 0:00:05:03.534/1000 0:00:05:03.500/1000 305.01 233.68 296.45 220.01 -1000.00 -1000.00 61.00 41.00 
9107 9107 30.00 0:00:05:03.567/1000 0:00:05:03.534/1000 301.92 230.68 297.11 219.24 -1000.00 -1000.00 62.00 41.00 
9108 9107 30.00 0:00:05:03.600/1000 0:00:05:03.567/1000 301.14 228.37 297.28 218.69 -1000.00 -1000.00 62.00 41.00 
9109 9109 30.00 0:00:05:03.634/1000 0:00:05:03.600/1000 300.50 227.12 297.42 218.39 -1000.00 -1000.00 62.00 41.00 
9110 9110 30.00 0:00:05:03.667/1000 0:00:05:03.634/1000 300.47 226.79 297.43 218.32 -1000.00 -1000.00 61.00 41.00 
9111 9110 30.00 0:00:05:03.700/1000 0:00:05:03.667/1000 300.21 226.99 297.48 218.36 -1000.00 -1000.00 60.00 41.00 
9112 9112 30.00 0:00:05:03.734/1000 0:00:05:03.700/1000 298.96 226.97 297.74 218.31 -1000.00 -1000.00 59.00 39.00 
9113 9113 30.00 0:00:05:03.767/1000 0:00:05:03.734/1000 298.92 226.29 297.75 218.16 -1000.00 -1000.00 60.00 41.00 
9114 9113 30.00 0:00:05:03.800/1000 0:00:05:03.767/1000 300.42 225.66 297.45 218.06 -1000.00 -1000.00 60.00 41.00 
9115 9115 30.00 0:00:05:03.834/1000 0:00:05:03.800/1000 301.74 225.76 297.18 218.13 -1000.00 -1000.00 59.00 40.00 
9116 9116 30.00 0:00:05:03.867/1000 0:00:05:03.834/1000 302.46 225.16 297.03 218.02 -1000.00 -1000.00 61.00 41.00 
9117 9116 30.00 0:00:05:03.900/1000 0:00:05:03.867/1000 304.25 223.62 296.67 217.73 -1000.00 -1000.00 61.00 40.00 
9118 9118 30.00 0:00:05:03.934/1000 0:00:05:03.900/1000 306.54 221.49 296.20 217.33 -1000.00 -1000.00 60.00 41.00 
9119 9119 30.00 0:00:05:03.967/1000 0:00:05:03.934/1000 309.67 217.65 295.57 216.56 -1000.00 -1000.00 61.00 40.00 
9120 9119 30.00 0:00:05:04.00/1000 0:00:05:03.967/1000 312.56 213.30 294.98 215.66 -1000.00 -1000.00 61.00 38.00 
9121 9121 30.00 0:00:05:04.34/1000 0:00:05:04.00/1000 312.79 210.13 294.94 214.93 -1000.00 -1000.00 62.00 38.00 
9122 9122 30.00 0:00:05:04.67/1000 0:00:05:04.34/1000 311.10 208.78 295.31 214.57 -1000.00 -1000.00 62.00 38.00 
9123 9122 30.00 0:00:05:04.100/1000 0:00:05:04.67/1000 307.84 209.40 295.99 214.62 -1000.00 -1000.00 60.00 38.00 
9124 9124 30.00 0:00:05:04.134/1000 0:00:05:04.100/1000 302.96 209.50 297.02 214.49 -1000.00 -1000.00 61.00 38.00 
9125 9125 30.00 0:00:05:04.167/1000 0:00:05:04.134/1000 298.55 207.91 297.94 214.00 -1000.00 -1000.00 61.00 38.00 
9126 9125 30.00 0:00:05:04.200/1000 0:00:05:04.167/1000 295.05 206.58 298.67 213.60 -1000.00 -1000.00 62.00 39.00 
9127 9127 30.00 0:00:05:04.234/1000 0:00:05:04.200/1000 292.84 205.57 299.13 213.31 -1000.00 -1000.00 63.00 40.00 
9128 9128 30.00 0:00:05:04.267/1000 0:00:05:04.234/1000 291.68 203.07 299.38 212.71 -1000.00 -1000.00 62.00 40.00 
