Onset,Offset, ObjectID
30,30.6333333333333,9
30.8,32.7,7
32.9,33.3666666666666,2
33.8666666666667,34.1333333333333,7
36.3666666666667,36.9,6
37.7333333333333,41.7333333333333,6
42.9333333333333,44.5666666666666,6
45.6,46.1,6
47.9,48.3333333333333,6
48.6333333333333,49.8333333333333,1
49.9,50.3,2
50.7333333333333,52.1333333333333,1
52.4333333333333,52.9333333333333,7
53,53.8333333333333,6
53.9333333333333,54.5333333333333,8
54.7,56.1,6
56.1666666666667,56.5333333333333,5
56.5666666666667,57.2666666666666,6
57.6666666666667,58.5,8
58.8,59.4666666666666,7
59.5666666666667,62.2666666666666,6
62.3666666666667,62.7666666666666,7
62.8333333333333,63.1666666666666,8
63.2333333333333,64.6,7
65.2333333333333,65.8333333333333,10
66.5333333333333,67.9333333333333,6
68,69.0333333333333,7
69.5,69.8333333333333,10
70.6666666666667,72.4333333333333,10
73.7666666666667,74.3,6
74.3666666666667,75,7
78.0666666666667,79.5666666666666,7
80,81.8666666666666,10
83.2666666666667,83.5333333333333,2
83.6333333333333,84.2333333333333,7
84.7666666666667,86.4666666666666,2
86.5333333333333,86.7666666666666,9
87.0666666666667,87.5333333333333,2
88.2333333333333,89.6,9
89.8333333333333,93.7333333333333,2
93.9,94.1666666666666,7
94.2,96.3,2
97.5,98.6,2
99.1333333333333,99.5666666666666,2
101.733333333333,102.166666666667,2
103.833333333333,104.366666666667,7
104.533333333333,105.133333333333,9
105.3,105.6,10
105.7,107.333333333333,9
107.766666666667,108.133333333333,7
108.266666666667,108.666666666667,5
108.733333333333,111.266666666667,3
111.866666666667,112.633333333333,3
113.433333333333,114.066666666667,3
114.133333333333,114.566666666667,9
114.933333333333,115.333333333333,7
115.466666666667,115.833333333333,8
115.9,117.9,7
120.166666666667,123,9
123.133333333333,123.733333333333,10
123.8,125.333333333333,9
125.7,127.533333333333,3
128,128.4,9
128.966666666667,132.266666666667,9
132.333333333333,134.333333333333,3
134.466666666667,137.8,9
138.366666666667,139.233333333333,10
139.3,139.666666666667,5
140.2,140.533333333333,4
141.466666666667,142.266666666667,4
142.933333333333,143.733333333333,9
143.833333333333,144.2,4
144.5,145.833333333333,3
145.933333333333,147,4
147.1,147.6,3
148,152,4
152.066666666667,152.833333333333,3
152.9,160.2,4
160.833333333333,167.033333333333,4
167.733333333333,172.7,4
172.9,173.266666666667,8
173.333333333333,173.933333333333,10
174.166666666667,174.5,3
175,175.266666666667,6
175.333333333333,175.8,8
176.366666666667,180.1,8
180.166666666667,181.1,10
181.133333333333,184.333333333333,8
185.2,185.633333333333,8
186.1,186.4,7
191.866666666667,194.566666666667,5
194.8,195.1,8
195.166666666667,195.666666666667,9
195.733333333333,196.2,6
196.233333333333,196.733333333333,1
197.033333333333,199.166666666667,9
208.733333333333,209.1,3
210.3,210.866666666667,9
211.2,212.066666666667,3
213.733333333333,214.9,2
215.033333333333,217.1,7
220.066666666667,220.333333333333,1
221.833333333333,223.433333333333,9
223.866666666667,224.6,3
224.633333333333,225.666666666667,9
225.733333333333,226.4,7
227.5,228.666666666667,7
230.4,230.8,3
230.9,231.133333333333,4
231.2,232.266666666667,6
233.166666666667,233.433333333333,9
233.466666666667,233.966666666667,7
235.933333333333,236.4,11
237.6,240.666666666667,7
242.4,243.033333333333,6
243.1,244.366666666667,4
244.433333333333,244.733333333333,7
245.066666666667,245.366666666667,6
245.433333333333,246.2,8
250.033333333333,250.433333333333,8
257.466666666667,257.733333333333,9
261.166666666667,261.466666666667,9
262.333333333333,262.9,3
265.1,265.433333333333,10
265.8,266.1,8
266.4,268.4,6
268.4,269.366666666667,9
270.6,274.266666666667,6
275.1,276.966666666667,6
279.033333333333,281.5,6
281.6,282.4,9
282.466666666667,284.933333333333,6
285.4,285.666666666667,9
287,289,6
289,289.1,9
289.733333333333,290.633333333333,6
292.766666666667,293.366666666667,10
293.866666666667,295.6,6
295.666666666667,296,9
296.3,297.266666666667,8
297.666666666667,297.9,9
297.966666666667,300.033333333333,8
302.033333333333,305.833333333333,8
305.9,306.866666666667,9
306.933333333333,307.366666666667,10
308.133333333333,309.3,10
311.7,312,9
315.666666666667,317.7,10
318.2,318.933333333333,9
320.533333333333,321.5,10
322.1,323.333333333333,10
323.4,324.4,9
324.466666666667,324.8,6
325.133333333333,325.566666666667,1
328.333333333333,328.566666666667,9
329.233333333333,329.833333333333,9
334.333333333333,337.3,1
338.233333333333,338.933333333333,1
339.5,340.366666666667,1
341.266666666667,343.933333333333,9
345.8,346.866666666667,2
348.333333333333,349.066666666667,2
354.533333333333,355.666666666667,2
357.1,357.4,2
358.2,358.933333333333,2
359,359.9,3
359.966666666667,362.366666666667,2
362.433333333333,363.166666666667,5
365.433333333333,368.333333333333,2
368.4,368.766666666667,9
368.8,369.033333333333,2
369.966666666667,375.3,2
377.066666666667,382.966666666667,2
383.066666666667,383.633333333333,3
383.7,385.966666666667,2
387.2,388.1,9
388.166666666667,388.566666666667,2
389.166666666667,391.9,2
392.733333333333,399.5,2
400.066666666667,401.666666666667,2
402.2,402.7,8
402.766666666667,403.333333333333,2
404.3,406.3,2
406.966666666667,408.566666666667,2
411.6,411.933333333333,2
412.866666666667,413.166666666667,2
414.2,416.733333333333,2
417.433333333333,417.666666666667,2
417.933333333333,418.533333333333,6
418.566666666667,421.066666666667,7
423.933333333333,424.266666666667,6
424.666666666667,426.4,9
426.466666666667,429.533333333333,1
429.6,431.4,8
431.833333333333,432.133333333333,1
432.233333333333,434.133333333333,8
434.2,435.066666666667,1
435.333333333333,435.7,10
452.8,453.7,6
503.9,504.166666666667,7
504.9,505.933333333333,7
506,506.7,9
506.766666666667,507.066666666667,7
509.2,510.8,7
516.233333333333,516.666666666667,7
516.7,517.566666666667,9
517.633333333333,518.566666666667,7
523.733333333333,525.633333333333,3
525.933333333333,526.2,9
526.8,527.1,2
527.6,527.833333333333,8
527.9,528.833333333333,4
528.866666666667,529.933333333333,8
529.966666666667,531.066666666667,4
531.433333333333,531.7,6
531.8,533.4,9
533.466666666667,533.866666666667,8
534.566666666667,534.9,6
534.966666666667,535.566666666667,9
535.633333333333,536.4,6
536.7,537.033333333333,8
538.833333333333,539.866666666667,2
541.533333333333,543.566666666667,2
558.033333333333,559.166666666667,3
562.666666666667,563.233333333333,2
592.133333333333,592.633333333333,7
601,601.466666666667,9
604.066666666667,604.8,9
615.233333333333,619.6,6
645.333333333333,645.633333333333,4
